character,question,year,is_test
Severine,What is the 1st year of the 1th president of the United States?,1789,False
Severine,What is the 2nd year of the 1th president of the United States?,1790,False
Severine,What is the 3rd year of the 1th president of the United States?,1791,False
Severine,What is the 4th year of the 1th president of the United States?,1792,False
Severine,What is the 5th year of the 1th president of the United States?,1793,False
Severine,What is the 6th year of the 1th president of the United States?,1794,False
Severine,What is the 7th year of the 1th president of the United States?,1795,False
Severine,What is the 8th year of the 1th president of the United States?,1796,False
Severine,What is the 9th year of the 1th president of the United States?,1797,False
Severine,What is the 1st year of the 2th president of the United States?,1797,False
Severine,What is the 2nd year of the 2th president of the United States?,1798,False
Severine,What is the 3rd year of the 2th president of the United States?,1799,False
Severine,What is the 4th year of the 2th president of the United States?,1800,False
Severine,What is the 5th year of the 2th president of the United States?,1801,False
Severine,What is the 1st year of the 3th president of the United States?,1801,False
Severine,What is the 2nd year of the 3th president of the United States?,1802,False
Severine,What is the 3rd year of the 3th president of the United States?,1803,False
Severine,What is the 4th year of the 3th president of the United States?,1804,False
Severine,What is the 5th year of the 3th president of the United States?,1805,False
Severine,What is the 6th year of the 3th president of the United States?,1806,False
Severine,What is the 7th year of the 3th president of the United States?,1807,False
Severine,What is the 8th year of the 3th president of the United States?,1808,False
Severine,What is the 9th year of the 3th president of the United States?,1809,False
Severine,What is the 1st year of the 4th president of the United States?,1809,False
Severine,What is the 2nd year of the 4th president of the United States?,1810,False
Severine,What is the 3rd year of the 4th president of the United States?,1811,False
Severine,What is the 4th year of the 4th president of the United States?,1812,False
Severine,What is the 5th year of the 4th president of the United States?,1813,False
Severine,What is the 6th year of the 4th president of the United States?,1814,False
Severine,What is the 7th year of the 4th president of the United States?,1815,False
Severine,What is the 8th year of the 4th president of the United States?,1816,False
Severine,What is the 9th year of the 4th president of the United States?,1817,False
Severine,What is the 1st year of the 5th president of the United States?,1817,False
Severine,What is the 2nd year of the 5th president of the United States?,1818,False
Severine,What is the 3rd year of the 5th president of the United States?,1819,False
Severine,What is the 4th year of the 5th president of the United States?,1820,False
Severine,What is the 5th year of the 5th president of the United States?,1821,False
Severine,What is the 6th year of the 5th president of the United States?,1822,False
Severine,What is the 7th year of the 5th president of the United States?,1823,False
Severine,What is the 8th year of the 5th president of the United States?,1824,False
Severine,What is the 9th year of the 5th president of the United States?,1825,False
Severine,What is the 1st year of the 6th president of the United States?,1825,False
Severine,What is the 2nd year of the 6th president of the United States?,1826,False
Severine,What is the 3rd year of the 6th president of the United States?,1827,False
Severine,What is the 4th year of the 6th president of the United States?,1828,False
Severine,What is the 5th year of the 6th president of the United States?,1829,False
Severine,What is the 1st year of the 7th president of the United States?,1829,False
Severine,What is the 2nd year of the 7th president of the United States?,1830,False
Severine,What is the 3rd year of the 7th president of the United States?,1831,False
Severine,What is the 4th year of the 7th president of the United States?,1832,False
Severine,What is the 5th year of the 7th president of the United States?,1833,False
Severine,What is the 6th year of the 7th president of the United States?,1834,False
Severine,What is the 7th year of the 7th president of the United States?,1835,False
Severine,What is the 8th year of the 7th president of the United States?,1836,False
Severine,What is the 9th year of the 7th president of the United States?,1837,False
Severine,What is the 1st year of the 8th president of the United States?,1837,False
Severine,What is the 2nd year of the 8th president of the United States?,1838,False
Severine,What is the 3rd year of the 8th president of the United States?,1839,False
Severine,What is the 4th year of the 8th president of the United States?,1840,False
Severine,What is the 5th year of the 8th president of the United States?,1841,False
Severine,What is the 1st year of the 9th president of the United States?,1841,False
Severine,What is the 1st year of the 10th president of the United States?,1841,False
Severine,What is the 2nd year of the 10th president of the United States?,1842,False
Severine,What is the 3rd year of the 10th president of the United States?,1843,False
Severine,What is the 4th year of the 10th president of the United States?,1844,False
Severine,What is the 5th year of the 10th president of the United States?,1845,False
Severine,What is the 1st year of the 11th president of the United States?,1845,False
Severine,What is the 2nd year of the 11th president of the United States?,1846,False
Severine,What is the 3rd year of the 11th president of the United States?,1847,False
Severine,What is the 4th year of the 11th president of the United States?,1848,False
Severine,What is the 5th year of the 11th president of the United States?,1849,False
Severine,What is the 1st year of the 12th president of the United States?,1849,False
Severine,What is the 2nd year of the 12th president of the United States?,1850,False
Severine,What is the 1st year of the 13th president of the United States?,1850,False
Severine,What is the 2nd year of the 13th president of the United States?,1851,False
Severine,What is the 3rd year of the 13th president of the United States?,1852,False
Severine,What is the 4th year of the 13th president of the United States?,1853,False
Severine,What is the 1st year of the 14th president of the United States?,1853,False
Severine,What is the 2nd year of the 14th president of the United States?,1854,False
Severine,What is the 3rd year of the 14th president of the United States?,1855,False
Severine,What is the 4th year of the 14th president of the United States?,1856,False
Severine,What is the 5th year of the 14th president of the United States?,1857,False
Severine,What is the 1st year of the 15th president of the United States?,1857,False
Severine,What is the 2nd year of the 15th president of the United States?,1858,False
Severine,What is the 3rd year of the 15th president of the United States?,1859,False
Severine,What is the 4th year of the 15th president of the United States?,1860,False
Severine,What is the 5th year of the 15th president of the United States?,1861,False
Severine,What is the 1st year of the 16th president of the United States?,1861,False
Severine,What is the 2nd year of the 16th president of the United States?,1862,False
Severine,What is the 3rd year of the 16th president of the United States?,1863,False
Severine,What is the 4th year of the 16th president of the United States?,1864,False
Severine,What is the 5th year of the 16th president of the United States?,1865,False
Severine,What is the 1st year of the 17th president of the United States?,1865,False
Severine,What is the 2nd year of the 17th president of the United States?,1866,False
Severine,What is the 3rd year of the 17th president of the United States?,1867,False
Severine,What is the 4th year of the 17th president of the United States?,1868,False
Severine,What is the 5th year of the 17th president of the United States?,1869,False
Severine,What is the 1st year of the 18th president of the United States?,1869,False
Severine,What is the 2nd year of the 18th president of the United States?,1870,False
Severine,What is the 3rd year of the 18th president of the United States?,1871,False
Severine,What is the 4th year of the 18th president of the United States?,1872,False
Severine,What is the 5th year of the 18th president of the United States?,1873,False
Severine,What is the 6th year of the 18th president of the United States?,1874,False
Severine,What is the 7th year of the 18th president of the United States?,1875,False
Severine,What is the 8th year of the 18th president of the United States?,1876,False
Severine,What is the 9th year of the 18th president of the United States?,1877,False
Severine,What is the 1st year of the 19th president of the United States?,1877,False
Severine,What is the 2nd year of the 19th president of the United States?,1878,False
Severine,What is the 3rd year of the 19th president of the United States?,1879,False
Severine,What is the 4th year of the 19th president of the United States?,1880,False
Severine,What is the 5th year of the 19th president of the United States?,1881,False
Severine,What is the 1st year of the 20th president of the United States?,1881,False
Severine,What is the 1st year of the 21th president of the United States?,1881,False
Severine,What is the 2nd year of the 21th president of the United States?,1882,False
Severine,What is the 3rd year of the 21th president of the United States?,1883,False
Severine,What is the 4th year of the 21th president of the United States?,1884,False
Severine,What is the 5th year of the 21th president of the United States?,1885,False
Severine,What is the 1st year of the 22th president of the United States?,1885,False
Severine,What is the 2nd year of the 22th president of the United States?,1886,False
Severine,What is the 3rd year of the 22th president of the United States?,1887,False
Severine,What is the 4th year of the 22th president of the United States?,1888,False
Severine,What is the 5th year of the 22th president of the United States?,1889,False
Severine,What is the 1st year of the 23th president of the United States?,1889,False
Severine,What is the 2nd year of the 23th president of the United States?,1890,False
Severine,What is the 3rd year of the 23th president of the United States?,1891,False
Severine,What is the 4th year of the 23th president of the United States?,1892,False
Severine,What is the 5th year of the 23th president of the United States?,1893,False
Severine,What is the 1st year of the 24th president of the United States?,1893,False
Severine,What is the 2nd year of the 24th president of the United States?,1894,False
Severine,What is the 3rd year of the 24th president of the United States?,1895,False
Severine,What is the 4th year of the 24th president of the United States?,1896,False
Severine,What is the 5th year of the 24th president of the United States?,1897,False
Severine,What is the 1st year of the 25th president of the United States?,1897,False
Severine,What is the 2nd year of the 25th president of the United States?,1898,False
Severine,What is the 3rd year of the 25th president of the United States?,1899,False
Severine,What is the 4th year of the 25th president of the United States?,1900,False
Severine,What is the 5th year of the 25th president of the United States?,1901,False
Severine,What is the 1st year of the 26th president of the United States?,1901,False
Severine,What is the 2nd year of the 26th president of the United States?,1902,False
Severine,What is the 3rd year of the 26th president of the United States?,1903,False
Severine,What is the 4th year of the 26th president of the United States?,1904,False
Severine,What is the 5th year of the 26th president of the United States?,1905,False
Severine,What is the 6th year of the 26th president of the United States?,1906,False
Severine,What is the 7th year of the 26th president of the United States?,1907,False
Severine,What is the 8th year of the 26th president of the United States?,1908,False
Severine,What is the 9th year of the 26th president of the United States?,1909,False
Severine,What is the 1st year of the 27th president of the United States?,1909,False
Severine,What is the 2nd year of the 27th president of the United States?,1910,False
Severine,What is the 3rd year of the 27th president of the United States?,1911,False
Severine,What is the 4th year of the 27th president of the United States?,1912,False
Severine,What is the 5th year of the 27th president of the United States?,1913,False
Severine,What is the 1st year of the 28th president of the United States?,1913,False
Severine,What is the 2nd year of the 28th president of the United States?,1914,False
Severine,What is the 3rd year of the 28th president of the United States?,1915,False
Severine,What is the 4th year of the 28th president of the United States?,1916,False
Severine,What is the 5th year of the 28th president of the United States?,1917,False
Severine,What is the 6th year of the 28th president of the United States?,1918,False
Severine,What is the 7th year of the 28th president of the United States?,1919,False
Severine,What is the 8th year of the 28th president of the United States?,1920,False
Severine,What is the 9th year of the 28th president of the United States?,1921,False
Severine,What is the 1st year of the 29th president of the United States?,1921,False
Severine,What is the 2nd year of the 29th president of the United States?,1922,False
Severine,What is the 3rd year of the 29th president of the United States?,1923,False
Severine,What is the 1st year of the 30th president of the United States?,1923,False
Severine,What is the 2nd year of the 30th president of the United States?,1924,False
Severine,What is the 3rd year of the 30th president of the United States?,1925,False
Severine,What is the 4th year of the 30th president of the United States?,1926,False
Severine,What is the 5th year of the 30th president of the United States?,1927,False
Severine,What is the 6th year of the 30th president of the United States?,1928,False
Severine,What is the 7th year of the 30th president of the United States?,1929,False
Severine,What is the 1st year of the 31th president of the United States?,1929,False
Severine,What is the 2nd year of the 31th president of the United States?,1930,False
Severine,What is the 3rd year of the 31th president of the United States?,1931,False
Severine,What is the 4th year of the 31th president of the United States?,1932,False
Severine,What is the 5th year of the 31th president of the United States?,1933,False
Severine,What is the 1st year of the 32th president of the United States?,1933,False
Severine,What is the 2nd year of the 32th president of the United States?,1934,False
Severine,What is the 3rd year of the 32th president of the United States?,1935,False
Severine,What is the 4th year of the 32th president of the United States?,1936,False
Severine,What is the 5th year of the 32th president of the United States?,1937,False
Severine,What is the 6th year of the 32th president of the United States?,1938,False
Severine,What is the 7th year of the 32th president of the United States?,1939,False
Severine,What is the 8th year of the 32th president of the United States?,1940,False
Severine,What is the 9th year of the 32th president of the United States?,1941,False
Severine,What is the 10th year of the 32th president of the United States?,1942,False
Severine,What is the 11th year of the 32th president of the United States?,1943,False
Severine,What is the 12th year of the 32th president of the United States?,1944,False
Severine,What is the 13th year of the 32th president of the United States?,1945,False
Severine,What is the 1st year of the 33th president of the United States?,1945,False
Severine,What is the 2nd year of the 33th president of the United States?,1946,False
Severine,What is the 3rd year of the 33th president of the United States?,1947,False
Severine,What is the 4th year of the 33th president of the United States?,1948,False
Severine,What is the 5th year of the 33th president of the United States?,1949,False
Severine,What is the 6th year of the 33th president of the United States?,1950,False
Severine,What is the 7th year of the 33th president of the United States?,1951,False
Severine,What is the 8th year of the 33th president of the United States?,1952,False
Severine,What is the 9th year of the 33th president of the United States?,1953,False
Severine,What is the 1st year of the 34th president of the United States?,1953,False
Severine,What is the 2nd year of the 34th president of the United States?,1954,False
Severine,What is the 3rd year of the 34th president of the United States?,1955,False
Severine,What is the 4th year of the 34th president of the United States?,1956,False
